movieCd,movieNm,audiAcc
20196309,스파이더맨: 파 프롬 홈,6203181
20183867,알라딘,9902073
20184047,토이 스토리 4,3045641
20185353,기방도령,178502
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,57399
20185986,진범,79257
20183782,기생충,9897029
20199951,애나벨 집으로,447576
20192151,미드소마,36493
20196655,존 윅 3: 파라벨룸,906703
20190273,천로역정: 천국을 찾아서,219537
20198453,롱 리브 더 킹: 목포 영웅,1071840
20192591,BIFAN2019 판타스틱 단편 걸작선 1,23125
20192689,별의 정원,5608
20182585,비스트,149378
20192022,마담 싸이코,31146
20196657,맨 인 블랙: 인터내셔널,841228
20190885,사탄의 인형,37438
20190466,세상을 바꾼 변호인,29481
19880001,이웃집 토토로,153147
20182387,엑스맨: 다크 피닉스,833806
20191401,업사이드,23404
20190793,엘리펀트킹 덤보,4211
20184889,어벤져스: 엔드게임,13885513
20198291,로켓맨,58737
20199063,빅샤크2: 해저2만리,36482
20188941,악인전,3342098
20184865,고질라: 킹 오브 몬스터,348899
20188144,0.0MHz,131430
20192001,피터팬: 후크 선장과 결투의 날,5094
20184082,걸캅스,1614840
20199448,어린 의뢰인,191273
20198597,교회오빠,61958
20199822,더 보이,54094
20198598,명탐정 피카츄,669144
20187981,배심원들,259696
20190261,언더 더 씨2,6247
20185784,나의 특별한 형제,1406780
20198183,뽀로로 극장판 보물섬 대모험,739673
20197503,서스페리아,15682
20185384,호텔 뭄바이,56553
20199949,벤 이즈 백,5471
20199923,라플라스의 마녀,5846
20199623,고양이 여행 리포트,5958
20197147,어글리 돌,29072
20060347,판의 미로 - 오필리아와 세 개의 열쇠,480095
20199189,미스 스티븐스,7080
20181877,캡틴 마블,5794498
20169323,안도 타다오,16311
20199736,프렌즈: 둥지탈출,8617
20183096,생일,1159311
20183454,요로나의 저주,195225
19990220,노팅 힐,47399
20180825,미성년,277622
20198982,크게 될 놈,89082
20183773,장난스런 키스,424479
20185406,헬보이,298000
20176103,돈,3364601
20182501,왓칭,35976
20198104,바이스,113743
20196244,샤잠!,615040
20197423,공포의 묘지,69276
20185352,어스,1434342
20198844,아이 엠 마더,34429
20196025,덤보,269816
20197092,로망,39390
20198023,고릴라와 슈퍼레이스,3419
20198146,콜레트,33733
20197846,악질경찰,248072
20166301,썬키스 패밀리,20876
20197987,더 길티,18094
20175407,우상,171623
20197283,이스케이프 룸,520968
20197617,정글북: 마법 원정대,11014
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,19048
20184574,그린 북,406569
20197356,라스트 미션,90131
20196601,항거:유관순 이야기,1112336
20182530,극한직업,16232517
20185881,증인,2509780
20196723,숲속왕국의 꿀벌 여왕,10213
20177539,사바하,2384513
20177282,리노,8030
20180937,더 페이버릿: 여왕의 여자,128846
20195743,신데렐라:마법 반지의 비밀,276452
20196323,더 와이프,25041
20176442,자전차왕 엄복동,133582
20195791,"어쩌다, 결혼",63485
20186261,드래곤 길들이기 3,1489660
20188282,알리타: 배틀 엔젤,1855884
20185576,콜드 체이싱,62705
20020222,해리포터와 비밀의 방,63837
20195915,해피 데스데이 2 유,382799
20184888,메리 포핀스 리턴즈,189990
20174169,기묘한 가족,173481
20162003,명탐정 코난:전율의 악보,63108
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,547873
20195984,드래곤볼 슈퍼: 브로리,20696
20180868,뺑반,1657018
20185444,레고 무비2,53817
20185124,러브 유어셀프 인 서울,332386
20184105,말모이,2843094
20184896,가버나움,82552
20176251,내안의 그놈,1839879
20189463,주먹왕 랄프 2: 인터넷 속으로,1705497
20182544,글래스,440869
20189385,몬스터 파크,22793
20186324,언더독,167650
20183915,극장판 공룡메카드: 타이니소어의 섬,398141
